"filename", "language", "JSON", "Markdown", "JSON with Comments", "TypeScript", "JavaScript", "TypeScript JSX", "CSS", "Python", "HTML", "XML", "comment", "blank", "total"
"d:\life\code\moyu\.trae\documents\NPC查询信息交互统一添加弹窗显示计划.md", "Markdown", 0, 259, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 317
"d:\life\code\moyu\.trae\documents\boss-refresh-bug-plan.md", "Markdown", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 41
"d:\life\code\moyu\.trae\documents\boss-spawn-system-plan.md", "Markdown", 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 152
"d:\life\code\moyu\.trae\documents\character-level-up-logic-refactoring-plan.md", "Markdown", 0, 262, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 335
"d:\life\code\moyu\.trae\documents\character-merit-battle-exp-functions-plan.md", "Markdown", 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 193
"d:\life\code\moyu\.trae\documents\create-monster-attributes-skill.md", "Markdown", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 78
"d:\life\code\moyu\.trae\documents\daily-task-officer-interaction-optimization-plan.md", "Markdown", 0, 263, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 342
"d:\life\code\moyu\.trae\documents\daily-task-officer-optimization-plan.md", "Markdown", 0, 408, 0, 0, 0, 0, 0, 0, 0, 0, 0, 113, 521
"d:\life\code\moyu\.trae\documents\equipment-inventory-integration-plan.md", "Markdown", 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 137
"d:\life\code\moyu\.trae\documents\equipment-refiner-enhancement-plan.md", "Markdown", 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 173
"d:\life\code\moyu\.trae\documents\equipment_refine_improvement_plan.md", "Markdown", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 44
"d:\life\code\moyu\.trae\documents\explorer-npc-trigger-plan.md", "Markdown", 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 180
"d:\life\code\moyu\.trae\documents\fix-battle-character-attributes.md", "Markdown", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 117
"d:\life\code\moyu\.trae\documents\fix-equipment-name-display.md", "Markdown", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 88
"d:\life\code\moyu\.trae\documents\fix-experience-calculation-bug-plan.md", "Markdown", 0, 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 253
"d:\life\code\moyu\.trae\documents\fix-merged-pet-damage-overflow.md", "Markdown", 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 147
"d:\life\code\moyu\.trae\documents\fix-pet-merge-battle-logic.md", "Markdown", 0, 208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 246
"d:\life\code\moyu\.trae\documents\fix-refine-gem-clear.md", "Markdown", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 85
"d:\life\code\moyu\.trae\documents\fix-wumingshi-level.md", "Markdown", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 130
"d:\life\code\moyu\.trae\documents\floating-text-component-plan.md", "Markdown", 0, 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 218
"d:\life\code\moyu\.trae\documents\global-page-style-adjustment-plan.md", "Markdown", 0, 236, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 299
"d:\life\code\moyu\.trae\documents\lint修复报告.md", "Markdown", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 89
"d:\life\code\moyu\.trae\documents\local-map-pan-effect_plan.md", "Markdown", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 88
"d:\life\code\moyu\.trae\documents\modal-top-spacing-plan.md", "Markdown", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 69
"d:\life\code\moyu\.trae\documents\move-production-task-to-npc-modal.md", "Markdown", 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 173
"d:\life\code\moyu\.trae\documents\optimize-marshal-prime-minister-interaction-plan.md", "Markdown", 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 146
"d:\life\code\moyu\.trae\documents\optimize-skill-system.md", "Markdown", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 91
